run_id,model,family,params_b,setting,task,prompt_tier,metric_name,metric_value,n_examples,seed
20260701_213857_falcon_h1_15b_E3-Q5_nq_open_dev_P1,falcon_h1_15b,Falcon-H1,1.5,E3-Q5,nq_open,P1,em,1.4939,200,42
20260702_034853_falcon_h1_15b_E3-Q5_nq_open_dev_P2,falcon_h1_15b,Falcon-H1,1.5,E3-Q5,nq_open,P2,em,1.4806,200,42
20260702_065034_falcon_h1_15b_E3-Q5_nq_open_dev_P3,falcon_h1_15b,Falcon-H1,1.5,E3-Q5,nq_open,P3,em,1.0033,200,42
20260701_001707_falcon_h1_15b_E3-Q5_squad_v2_dev,falcon_h1_15b,Falcon-H1,1.5,E3-Q5,squad_v2,P0,em,42.6925,200,42
20260701_213857_falcon_h1_15b_E3-Q5_squad_v2_dev_P1,falcon_h1_15b,Falcon-H1,1.5,E3-Q5,squad_v2,P1,em,34.5595,200,42
20260702_034644_falcon_h1_15b_E3-Q5_squad_v2_dev_P2,falcon_h1_15b,Falcon-H1,1.5,E3-Q5,squad_v2,P2,em,3.3745,200,42
20260702_064928_falcon_h1_15b_E3-Q5_squad_v2_dev_P3,falcon_h1_15b,Falcon-H1,1.5,E3-Q5,squad_v2,P3,em,2.0079,200,42
20260701_001706_falcon_h1_15b_E3-Q5_truthfulqa_mc1_dev,falcon_h1_15b,Falcon-H1,1.5,E3-Q5,truthfulqa_mc1,P0,acc,44.5,200,42
20260701_213857_falcon_h1_15b_E3-Q5_truthfulqa_mc1_dev_P1,falcon_h1_15b,Falcon-H1,1.5,E3-Q5,truthfulqa_mc1,P1,acc,22.0,200,42
20260702_035102_falcon_h1_15b_E3-Q5_truthfulqa_mc1_dev_P2,falcon_h1_15b,Falcon-H1,1.5,E3-Q5,truthfulqa_mc1,P2,acc,34.0,200,42
20260702_065538_falcon_h1_15b_E3-Q5_truthfulqa_mc1_dev_P3,falcon_h1_15b,Falcon-H1,1.5,E3-Q5,truthfulqa_mc1,P3,acc,24.5,200,42
20260701_054845_falcon_h1_15b_E4-Q4_halueval_general_dev,falcon_h1_15b,Falcon-H1,1.5,E4-Q4,halueval_general,P0,acc,40.0,200,42
20260701_054831_falcon_h1_15b_E4-Q4_halueval_qa_dev,falcon_h1_15b,Falcon-H1,1.5,E4-Q4,halueval_qa,P0,acc,48.5,200,42
20260701_054747_falcon_h1_15b_E4-Q4_nq_open_dev,falcon_h1_15b,Falcon-H1,1.5,E4-Q4,nq_open,P0,em,3.8606,200,42
20260701_214126_falcon_h1_15b_E4-Q4_nq_open_dev_P1,falcon_h1_15b,Falcon-H1,1.5,E4-Q4,nq_open,P1,em,1.256,200,42
20260701_231028_falcon_h1_15b_E4-Q4_nq_open_dev_P2,falcon_h1_15b,Falcon-H1,1.5,E4-Q4,nq_open,P2,em,1.4451,200,42
20260702_065534_falcon_h1_15b_E4-Q4_nq_open_dev_P3,falcon_h1_15b,Falcon-H1,1.5,E4-Q4,nq_open,P3,em,0.749,200,42
20260701_001713_falcon_h1_15b_E4-Q4_squad_v2_dev,falcon_h1_15b,Falcon-H1,1.5,E4-Q4,squad_v2,P0,em,41.2275,200,42
20260701_214126_falcon_h1_15b_E4-Q4_squad_v2_dev_P1,falcon_h1_15b,Falcon-H1,1.5,E4-Q4,squad_v2,P1,em,32.3536,200,42
20260702_033311_falcon_h1_15b_E4-Q4_squad_v2_dev_P2,falcon_h1_15b,Falcon-H1,1.5,E4-Q4,squad_v2,P2,em,2.678,200,42
20260702_065223_falcon_h1_15b_E4-Q4_squad_v2_dev_P3,falcon_h1_15b,Falcon-H1,1.5,E4-Q4,squad_v2,P3,em,2.2376,200,42
20260701_001713_falcon_h1_15b_E4-Q4_truthfulqa_mc1_dev,falcon_h1_15b,Falcon-H1,1.5,E4-Q4,truthfulqa_mc1,P0,acc,43.0,200,42
20260701_214126_falcon_h1_15b_E4-Q4_truthfulqa_mc1_dev_P1,falcon_h1_15b,Falcon-H1,1.5,E4-Q4,truthfulqa_mc1,P1,acc,24.5,200,42
20260702_033605_falcon_h1_15b_E4-Q4_truthfulqa_mc1_dev_P2,falcon_h1_15b,Falcon-H1,1.5,E4-Q4,truthfulqa_mc1,P2,acc,33.0,200,42
20260702_070017_falcon_h1_15b_E4-Q4_truthfulqa_mc1_dev_P3,falcon_h1_15b,Falcon-H1,1.5,E4-Q4,truthfulqa_mc1,P3,acc,24.0,200,42
20260630_231127_falcon_h1_15b_deep_E0-REF_halueval_general_dev,falcon_h1_15b_deep,Falcon-H1,1.5,E0-REF,halueval_general,P0,acc,79.5,200,42
20260630_230815_falcon_h1_15b_deep_E0-REF_halueval_qa_dev,falcon_h1_15b_deep,Falcon-H1,1.5,E0-REF,halueval_qa,P0,acc,45.0,200,42
20260630_230640_falcon_h1_15b_deep_E0-REF_nq_open_dev,falcon_h1_15b_deep,Falcon-H1,1.5,E0-REF,nq_open,P0,em,11.9763,200,42
