task,run_id,model_key,setting,prompt_tier,dataset,split,num_examples,primary_metric_name,primary_metric,exact_match,f1,prompt_acc,instr_acc,mtbench_score,instruction_level_acc,has_ans_exact_match,has_ans_f1,no_ans_exact_match,no_ans_f1,valid_scores,empty_responses,latency_ms_mean,decode_chars_per_s_mean,judge_model
task_eval,20260630_225316_falcon_h1_tiny_90m_E1-INT8_halueval_qa_dev,falcon_h1_tiny_90m,E1-INT8,P0,halueval_qa,dev,200,f1,0.475,0.475,0.475,,,,,,,,,,,4154.9739464663435,12.58314040576837,
task_eval,20260630_225316_falcon_h1_tiny_90m_E1-INT8_nq_open_dev,falcon_h1_tiny_90m,E1-INT8,P0,nq_open,dev,200,f1,0.018547126181776827,0.0,0.018547126181776827,,,,,,,,,,,11531.384488893673,25.856851296715515,
task_eval,20260630_225316_falcon_h1_tiny_90m_E1-INT8_squad_v2_dev,falcon_h1_tiny_90m,E1-INT8,P0,squad_v2,dev,200,f1,0.26783205667239973,0.205,0.26783205667239973,,,,,0.04950495049504951,0.1739248646978212,0.36363636363636365,0.36363636363636365,,,8598.127057766542,25.373999274427035,
task_eval,20260630_225316_falcon_h1_tiny_90m_E1-INT8_truthfulqa_mc1_dev,falcon_h1_tiny_90m,E1-INT8,P0,truthfulqa_mc1,dev,200,f1,0.19,0.19,0.19,,,,,,,,,,,16368.169717187993,28.415523333738705,
task_eval,20260630_225320_llama32_1b_E0-REF_nq_open_dev,llama32_1b,E0-REF,P0,nq_open,dev,200,f1,0.09597365240536115,0.015,0.09597365240536115,,,,,,,,,,,463.2110878988169,257.39049115522397,
task_eval,20260630_225320_llama32_1b_E0-REF_truthfulqa_mc1_dev,llama32_1b,E0-REF,P0,truthfulqa_mc1,dev,200,f1,0.34,0.34,0.34,,,,,,,,,,,142.9579171864316,177.42733738108316,
task_eval,20260630_225402_llama32_1b_E0-REF_halueval_qa_dev,llama32_1b,E0-REF,P0,halueval_qa,dev,200,f1,0.0,0.0,0.0,,,,,,,,,,,1679.9965125089511,276.6067107432729,
task_eval,20260630_225406_gemma3_1b_E3-Q5_squad_v2_dev,gemma3_1b,E3-Q5,P0,squad_v2,dev,200,f1,0.4814951690821256,0.47,0.4814951690821256,,,,,0.0,0.022762711053714066,0.9494949494949495,0.9494949494949495,,,12643.294643745758,2.942114704103129,
task_eval,20260630_225422_llama32_1b_E0-REF_halueval_general_dev,llama32_1b,E0-REF,P0,halueval_general,dev,200,f1,0.025,0.025,0.025,,,,,,,,,,,1118.0289753712714,305.5976859662237,
task_eval,20260630_225457_smollm2_360m_E1-INT8_squad_v2_dev,smollm2_360m,E1-INT8,P0,squad_v2,dev,200,f1,0.17103909780052898,0.055,0.17103909780052898,,,,,0.0891089108910891,0.3188893025753049,0.020202020202020204,0.020202020202020204,,,2675.2696773514617,37.45943489116624,
task_eval,20260630_225512_tinyllama_11b_E0-REF_squad_v2_dev,tinyllama_11b,E0-REF,P0,squad_v2,dev,200,f1,0.16310127058387558,0.07,0.16310127058387558,,,,,0.009900990099009901,0.1637903744736874,0.13131313131313133,0.16239824540336048,,,821.6041580401361,203.47938918256563,
task_eval,20260630_225518_tinyllama_11b_E0-REF_nq_open_dev,tinyllama_11b,E0-REF,P0,nq_open,dev,200,f1,0.03772325597454094,0.0,0.03772325597454094,,,,,,,,,,,1203.4177361021284,195.36827650265298,
